,variant,value
271,variant_a,0.0227
272,variant_a,0.0269
273,variant_a,0.0164
274,variant_a,0.0042
275,variant_a,0.0865
276,variant_a,1.6118
277,variant_a,0.0294
278,variant_a,0.0235
279,variant_a,0.0403
280,variant_a,0.0069
281,variant_a,0.0
282,variant_a,0.299
283,variant_a,0.0
284,variant_a,0.2481
285,variant_a,0.0286
286,variant_a,0.0
287,variant_a,0.0028
288,variant_a,0.0006
289,variant_a,0.2232
290,variant_a,0.1311
291,variant_a,0.0051
292,variant_a,0.0008
293,variant_a,2.799
294,variant_a,0.7422
295,variant_a,0.0159
296,variant_a,0.0793
297,variant_a,0.0299
298,variant_a,0.0052
299,variant_a,0.0115
300,variant_a,0.0016
301,variant_a,0.102
302,variant_a,0.0008
303,variant_a,0.1245
304,variant_a,0.0087
305,variant_a,0.0006
306,variant_a,0.0027
307,variant_a,0.0869
308,variant_a,0.0
309,variant_a,1.1611
310,variant_a,0.0855
311,variant_a,0.0822
312,variant_a,0.0
313,variant_a,0.0
314,variant_a,0.0544
315,variant_a,0.0685
316,variant_a,1.0156
317,variant_a,0.071
318,variant_a,0.0011
319,variant_a,0.0194
320,variant_a,0.0009
321,variant_a,0.0094
322,variant_a,0.0158
323,variant_a,0.0274
324,variant_a,0.0075
325,variant_a,0.0474
326,variant_a,0.0236
327,variant_a,0.0251
328,variant_a,0.0
329,variant_a,0.0119
330,variant_a,0.2089
331,variant_a,0.0112
332,variant_a,0.007
333,variant_a,1.555
334,variant_a,0.0198
335,variant_a,0.0174
336,variant_a,0.3289
337,variant_a,0.3397
338,variant_a,0.0313
339,variant_a,0.0694
340,variant_a,0.0543
341,variant_a,0.0587
342,variant_a,0.0008
343,variant_a,0.0632
344,variant_a,0.1136
345,variant_a,0.0106
346,variant_a,0.041
347,variant_a,0.0181
348,variant_a,0.0
349,variant_a,0.024
350,variant_a,0.0422
351,variant_a,2.6749
352,variant_a,0.0
353,variant_a,0.1033
354,variant_a,1.3431
355,variant_a,0.0
356,variant_a,0.0
357,variant_a,0.2114
358,variant_a,0.0207
359,variant_a,0.0162
360,variant_a,0.0024
361,variant_a,0.0032
362,variant_a,0.0553
363,variant_a,0.0471
364,variant_a,0.0162
365,variant_a,0.0263
366,variant_a,0.0566
367,variant_a,0.0091
368,variant_a,0.008
369,variant_a,0.0465
370,variant_a,0.0648
371,variant_a,0.0005
372,variant_a,0.034
373,variant_a,0.0291
374,variant_a,0.0043
375,variant_a,0.0008
376,variant_a,0.7558
377,variant_a,0.0121
378,variant_a,0.0317
379,variant_a,0.0033
380,variant_a,0.0004
381,variant_a,0.0772
382,variant_a,0.0207
383,variant_a,0.0018
384,variant_a,0.0321
385,variant_a,0.0646
386,variant_a,0.0131
387,variant_a,0.1394
388,variant_a,0.6293
389,variant_a,0.0118
390,variant_a,0.0118
391,variant_a,0.1792
392,variant_a,0.0012
393,variant_a,0.048
394,variant_a,0.0244
395,variant_a,0.0791
396,variant_a,0.0
397,variant_a,0.4679
398,variant_a,0.0088
399,variant_a,4.2696
400,variant_a,0.0018
401,variant_a,0.0
402,variant_a,0.1391
403,variant_a,0.054
404,variant_a,0.0049
405,variant_a,0.5889
406,variant_a,0.0131
407,variant_a,0.1735
408,variant_a,0.0193
409,variant_a,0.0125
410,variant_a,0.0659
411,variant_a,0.0
412,variant_a,0.0034
413,variant_a,0.0
414,variant_a,0.0127
415,variant_a,0.1676
416,variant_a,0.0047
417,variant_a,0.1298
418,variant_a,0.0
419,variant_a,0.0
420,variant_a,0.0564
421,variant_a,0.1722
422,variant_a,0.0024
423,variant_a,0.0064
424,variant_a,0.0482
425,variant_a,0.4976
426,variant_a,0.0218
427,variant_a,0.2161
428,variant_a,0.0919
429,variant_a,1.5378
430,variant_a,0.0187
431,variant_a,0.6211
432,variant_a,0.175
433,variant_a,0.1242
434,variant_a,0.0
435,variant_a,0.0
436,variant_a,0.0208
437,variant_a,0.0659
438,variant_a,0.0466
439,variant_a,0.0182
440,variant_a,0.0924
441,variant_a,0.047
442,variant_a,0.0058
443,variant_a,0.1914
444,variant_a,1.7509
445,variant_a,0.0
446,variant_a,0.0033
447,variant_a,0.0064
448,variant_a,0.0167
449,variant_a,0.0194
450,variant_a,0.0
451,variant_a,0.2784
452,variant_a,0.0164
453,variant_a,0.037
454,variant_a,0.0113
455,variant_a,0.0015
456,variant_a,0.0
457,variant_a,0.2242
458,variant_a,0.0003
459,variant_a,0.0258
460,variant_a,0.162
461,variant_a,0.0098
462,variant_a,0.0001
463,variant_a,0.018
464,variant_a,0.023
465,variant_a,0.0312
466,variant_a,0.0042
467,variant_a,0.0075
468,variant_a,0.3865
469,variant_a,0.0499
470,variant_a,0.0095
471,variant_a,0.0
472,variant_a,0.1712
473,variant_a,0.0
474,variant_a,0.0135
475,variant_a,0.1321
476,variant_a,0.0264
477,variant_a,0.0273
478,variant_a,0.0224
479,variant_a,0.0
480,variant_a,0.8004
481,variant_a,0.0703
482,variant_a,0.0769
483,variant_a,0.4186
484,variant_a,0.0
485,variant_a,0.0427
486,variant_a,0.0182
487,variant_a,0.0398
488,variant_a,0.0111
489,variant_a,0.0021
490,variant_a,0.0
491,variant_a,0.1257
492,variant_a,0.0083
493,variant_a,0.0
494,variant_a,0.0333
495,variant_a,0.0136
496,variant_a,0.2843
497,variant_a,0.0002
498,variant_a,0.8789
499,variant_a,0.0003
500,variant_a,0.168
501,variant_a,0.0001
502,variant_a,0.0398
503,variant_a,0.4758
504,variant_a,0.0031
505,variant_a,0.0587
506,variant_a,0.0
507,variant_a,0.0
508,variant_a,2.3121
509,variant_a,0.0046
510,variant_a,0.1412
511,variant_a,0.0233
512,variant_a,0.0218
513,variant_a,0.0007
514,variant_a,0.0152
515,variant_a,0.0358
516,variant_a,0.0843
517,variant_a,0.0883
518,variant_a,0.047
519,variant_a,0.1353
520,variant_a,0.0052
521,variant_a,0.0432
522,variant_a,0.0838
523,variant_a,0.2394
524,variant_a,0.0174
525,variant_a,2.0828
526,variant_a,1.0153
527,variant_a,0.0
528,variant_a,0.0236
529,variant_a,0.0387
530,variant_a,0.0553
531,variant_a,0.2569
532,variant_a,0.2015
533,variant_a,0.1505
534,variant_a,0.9021
535,variant_a,0.0
536,variant_a,0.0195
537,variant_a,0.8919
538,variant_a,0.0238
539,variant_a,1.9518
540,variant_a,0.3195
541,variant_a,0.0928
542,variant_a,0.0
543,variant_a,0.0035
544,variant_a,0.0379
545,variant_a,0.0102
546,variant_a,0.0006
547,variant_a,0.2123
548,variant_a,0.3793
549,variant_a,0.1074
550,variant_a,0.0175
551,variant_a,0.0049
552,variant_a,0.0574
553,variant_a,0.0
554,variant_a,0.0027
555,variant_a,0.1977
556,variant_a,0.0381
557,variant_a,0.0433
558,variant_a,0.0024
559,variant_a,0.1238
560,variant_a,0.0202
561,variant_a,0.0079
562,variant_a,0.0279
563,variant_a,0.0041
564,variant_a,0.017
565,variant_a,0.0012
566,variant_a,0.006
